storm_id,source_page,source_row,reason
,260,21.0,NON_OBSERVATION_NARRATIVE_ROW
,288,11.0,NON_OBSERVATION_NARRATIVE_ROW
,40,37.0,NON_OBSERVATION_NARRATIVE_ROW
,96,14.0,NON_OBSERVATION_NARRATIVE_ROW
,150,10.0,NON_OBSERVATION_NARRATIVE_ROW
,160,8.0,NON_OBSERVATION_NARRATIVE_ROW
,160,12.0,NON_OBSERVATION_NARRATIVE_ROW
,173,2.0,NON_OBSERVATION_NARRATIVE_ROW
,173,9.0,NON_OBSERVATION_NARRATIVE_ROW
,173,14.0,NON_OBSERVATION_NARRATIVE_ROW
,192,22.0,NON_OBSERVATION_NARRATIVE_ROW
,192,30.0,NON_OBSERVATION_NARRATIVE_ROW
,224,8.0,NON_OBSERVATION_NARRATIVE_ROW
,224,14.0,NON_OBSERVATION_NARRATIVE_ROW
,224,27.0,NON_OBSERVATION_NARRATIVE_ROW
,42,8.0,NON_OBSERVATION_NARRATIVE_ROW
,59,26.0,NON_OBSERVATION_NARRATIVE_ROW
,59,39.0,NON_OBSERVATION_NARRATIVE_ROW
,91,22.0,NON_OBSERVATION_NARRATIVE_ROW
,91,33.0,NON_OBSERVATION_NARRATIVE_ROW
,118,5.0,NON_OBSERVATION_NARRATIVE_ROW
,118,14.0,NON_OBSERVATION_NARRATIVE_ROW
,132,15.0,NON_OBSERVATION_NARRATIVE_ROW
,132,26.0,NON_OBSERVATION_NARRATIVE_ROW
,152,29.0,NON_OBSERVATION_NARRATIVE_ROW
,152,34.0,NON_OBSERVATION_NARRATIVE_ROW
,173,10.0,NON_OBSERVATION_NARRATIVE_ROW
,183,5.0,NON_OBSERVATION_NARRATIVE_ROW
,183,7.0,NON_OBSERVATION_NARRATIVE_ROW
,195,5.0,NON_OBSERVATION_NARRATIVE_ROW
,195,8.0,NON_OBSERVATION_NARRATIVE_ROW
,208,14.0,NON_OBSERVATION_NARRATIVE_ROW
,51,17.0,NON_OBSERVATION_NARRATIVE_ROW
,64,14.0,NON_OBSERVATION_NARRATIVE_ROW
,64,18.0,NON_OBSERVATION_NARRATIVE_ROW
