filename,canonical_filename,is_canonical,is_redundant_duplicate,file_size_bytes,sha256,status,notes
3B-HHR.MS.MRG.3IMERG.20050918-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S120000-E122959.0720.V07B.HDF5,True,False,7613680,a2cb2737aac919581ab7b6b9370f7a4a4696b62a54ab4f74ee24f6a8dbbfe8d6,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050918-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050918-S210000-E212959.1260.V07B.HDF5,True,False,7680383,a056b548d5a35c404e87dda0e9a86a9672f5a2c06c218949e79438934c702050,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050919-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050919-S000000-E002959.0000.V07B.HDF5,True,False,7606895,d85093a2133f0e1eb241512dbaca4f4d8a1a396e80bdbde4281f65648a147305,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050919-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050919-S030000-E032959.0180.V07B.HDF5,True,False,7567835,b5a3864e0e2358d4eb4cb210b64ca967d50bb7a6d413dae63de535bc11e2b017,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050919-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050919-S060000-E062959.0360.V07B.HDF5,True,False,7346164,a85f14857b8885aae9133b2f3a7ac1e2d6198b0664543683d15f4d56d41ea272,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050919-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050919-S090000-E092959.0540.V07B.HDF5,True,False,7447168,682f3fa5821a906c3757e0c5aa3d977ada3cfd546e1221c7b1857641c1c6675d,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050919-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050919-S120000-E122959.0720.V07B.HDF5,True,False,7591396,66aa115592fe7d3181323bde652d8cdeb6e620cc1f78c47517fc2c798b27e6ec,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051025-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051025-S120000-E122959.0720.V07B.HDF5,True,False,7701446,4a96743afc9072d090d5ae456744dcfcba4d80559fbca49ebd1e7ab650107747,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051025-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051025-S150000-E152959.0900.V07B.HDF5,True,False,7780461,64c1d16c043f8156c563e81903d3dd72e572748b26a2e4e15cc33eae709be531,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051025-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051025-S180000-E182959.1080.V07B.HDF5,True,False,7847155,f2b98f4612bdf58a359d2521f31ccca382c15291b7514db5c51b4e3d67d54059,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051025-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051025-S210000-E212959.1260.V07B.HDF5,True,False,7886423,f843f1455734b4c7e99fd388723fbd68ea04263e3e9df758bd1a0c977346f3d2,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S000000-E002959.0000.V07B.HDF5,True,False,7645828,8a362b7e12d0fa7fc256a9f64aadbfaee248ee2c071b7b8e927efa4e87f5813c,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S030000-E032959.0180.V07B.HDF5,True,False,7652918,2197c73ba5f64408c68a063b47ae7e99d29008a308700bdbd60f22be4cee8042,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S060000-E062959.0360.V07B.HDF5,True,False,7468826,06f04ba0492e9d2a6b8283b2f06a106ec476fd599eb6eed47e4ed98d9468955f,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S090000-E092959.0540.V07B.HDF5,True,False,7661373,7a74c5f938808f391b480c188a6e383c81229c78c7d58f742b40de4d01f6e7bd,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S120000-E122959.0720.V07B.HDF5,True,False,7793630,5f5e00b615222ea91a6a9b6fab60dba940a590530154e368e7d3dbb79f0fc1c8,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S150000-E152959.0900.V07B.HDF5,True,False,7700338,55b63039bb36b32dcfba5e6a1559adb3646fde8979bb43fb53965acc650eedec,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S180000-E182959.1080.V07B.HDF5,True,False,7722171,9ad79b23c59674b611607844b22805ed1ecc11a2d2b824fb303c27080d7da0e1,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051026-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051026-S210000-E212959.1260.V07B.HDF5,True,False,7816868,9e23f71c341b29ff2e95fd54cb60ce6d0528d4736baa80ecd9b9ca7d4bde4bba,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051027-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051027-S000000-E002959.0000.V07B.HDF5,True,False,7843472,c85a91e558a73241d58091cadded69203afde2af68e51e27a43477d286e29607,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20051027-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20051027-S030000-E032959.0180.V07B.HDF5,True,False,7758779,8c76ba77c5f7f5428112a9ec75ff20bd9f16521b4343c1dbe08937e371f623ac,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
