sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2021_YAAS_20210525_1800Z,NIO_2021_YAAS,2021-05-25T18:00:00Z,0.4971829652786255,0.5028170347213745,0.4983443021774292,0.4136187732219696,0.5843610167503357,0.007331963628530502
NIO_2022_ASANI_20220507_0600Z,NIO_2022_ASANI,2022-05-07T06:00:00Z,0.4968709349632263,0.5031290650367737,0.4979989230632782,0.42354637384414673,0.5744130611419678,0.0067801387049257755
NIO_2022_ASANI_20220507_1200Z,NIO_2022_ASANI,2022-05-07T12:00:00Z,0.49785879254341125,0.5021412074565887,0.4989072382450104,0.4174337089061737,0.5841991901397705,0.007183531299233437
NIO_2022_ASANI_20220507_1800Z,NIO_2022_ASANI,2022-05-07T18:00:00Z,0.4981813430786133,0.5018186569213867,0.49881482124328613,0.4181104302406311,0.5846192240715027,0.006875948514789343
NIO_2022_ASANI_20220508_0000Z,NIO_2022_ASANI,2022-05-08T00:00:00Z,0.4978189468383789,0.5021810531616211,0.49857470393180847,0.42229965329170227,0.5783836245536804,0.006518971174955368
NIO_2022_ASANI_20220508_0300Z,NIO_2022_ASANI,2022-05-08T03:00:00Z,0.4973587095737457,0.5026412904262543,0.4982653260231018,0.4274316430091858,0.5707586407661438,0.0061180624179542065
NIO_2022_ASANI_20220508_0600Z,NIO_2022_ASANI,2022-05-08T06:00:00Z,0.4970771074295044,0.5029228925704956,0.4980926811695099,0.4298999011516571,0.5675233006477356,0.0061709205619990826
NIO_2022_ASANI_20220508_0900Z,NIO_2022_ASANI,2022-05-08T09:00:00Z,0.4972563087940216,0.5027436912059784,0.4983516037464142,0.42775648832321167,0.5706035494804382,0.006651474628597498
NIO_2022_ASANI_20220508_1200Z,NIO_2022_ASANI,2022-05-08T12:00:00Z,0.4975205361843109,0.5024794638156891,0.49842172861099243,0.42682650685310364,0.5730277299880981,0.006783399730920792
NIO_2022_ASANI_20220508_1500Z,NIO_2022_ASANI,2022-05-08T15:00:00Z,0.4976431429386139,0.5023568570613861,0.4983741044998169,0.4266869127750397,0.5734672546386719,0.006609195377677679
NIO_2022_ASANI_20220508_1800Z,NIO_2022_ASANI,2022-05-08T18:00:00Z,0.49726593494415283,0.5027340650558472,0.49829915165901184,0.42427289485931396,0.5747068524360657,0.006760598625987768
NIO_2022_ASANI_20220508_2100Z,NIO_2022_ASANI,2022-05-08T21:00:00Z,0.4970339834690094,0.5029660165309906,0.49839234352111816,0.4198809862136841,0.5784031748771667,0.007442245725542307
NIO_2022_ASANI_20220509_0000Z,NIO_2022_ASANI,2022-05-09T00:00:00Z,0.4967712163925171,0.5032287836074829,0.4984135031700134,0.41773363947868347,0.579654335975647,0.007606625556945801
NIO_2022_ASANI_20220509_0300Z,NIO_2022_ASANI,2022-05-09T03:00:00Z,0.49626782536506653,0.5037321746349335,0.49830198287963867,0.4187588095664978,0.5769323110580444,0.007732202764600515
NIO_2022_ASANI_20220509_0600Z,NIO_2022_ASANI,2022-05-09T06:00:00Z,0.4962347447872162,0.5037652552127838,0.49830755591392517,0.41789618134498596,0.5775735378265381,0.00788967963308096
